ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
3959,More than 12 months,DWC,Recurrent,220,155.14,319.87,51916,0.7704,HDM,YES,HDZ,NO
3960,1 -2 months,DWC,New,7,11.34,182.6,1224,0.2753,HDM,NO,LDZ,NO
3961,More than 12 months,DWC,Recurrent,333,156.35,309.93,75534,0.852,HDM,YES,HDZ,NO
3962,7-12 months,DWC,Recurrent,315,262.02,347.06,81700,0.7589,HDM,YES,HDZ,NO
3963,3 - 6 months,DWC,Recurrent,67,50.15,258.55,13769,0.6513,LDM,NO,HDZ,NO
3964,7-12 months,DWC,Recurrent,409,281.86,307.91,93416,0.7366,HDM,YES,HDZ,NO
3965,7-12 months,DWC,Recurrent,195,112.71,290.03,41982,0.8029,HDM,YES,HDZ,NO
3966,1 -2 months,DWC,New,23,13,209.9,3759,0.6512,LDM,NO,HDZ,NO
3967,7-12 months,DWOC,Recurrent,84,48.76,270.87,16794,0.7705,HDM,YES,HDZ,YES
3968,3 - 6 months,DWC,Recurrent,9,5.3,213.61,1397,0.4934,LDM,NO,HDZ,YES
3969,3 - 6 months,DWOC,Recurrent,2,2.37,228,331,0.4531,LDM,NO,HDZ,NO
3970,1 -2 months,DWC,New,4,3.73,142.8,547,0.3385,HDM,NO,HDZ,YES
3971,3 - 6 months,DWOC,Recurrent,291,234.36,256.81,56458,0.5994,LDM,YES,HDZ,NO
3972,7-12 months,DWC,Recurrent,311,191.8,212.97,48515,0.7218,HDM,NO,HDZ,NO
3973,More than 12 months,DWC,Recurrent,191,128.85,245.4,35000,0.7043,HDM,YES,HDZ,NO
3974,More than 12 months,DWC,Recurrent,14,16.23,444.64,4692,0.535,HDM,YES,HDZ,NO
3975,3 - 6 months,DWC,Recurrent,128,103.08,294.04,30411,0.6748,HDM,YES,HDZ,NO
3976,3 - 6 months,DWC,Recurrent,80,61.95,236.67,16468,0.6827,HDM,NO,HDZ,NO
3977,7-12 months,DWC,Reactivated,4,3.35,325.71,935,0.8706,HDM,NO,HDZ,NO
3978,1 -2 months,DWC,New,16,13.7,180.22,2762,0.5487,HDM,NO,HDZ,NO
3979,1 -2 months,DWC,Recurrent,18,11.65,178.59,2465,0.5736,HDM,NO,HDZ,NO
3980,3 - 6 months,DWOC,Recurrent,212,120.78,265.89,40918,0.8245,HDM,NO,HDZ,NO
3981,1 -2 months,DWC,Recurrent,3,3.92,127.24,368,0.2377,HDM,NO,HDZ,YES
3982,1 -2 months,DWOC,Recurrent,54,25.58,304.41,12032,0.8546,HDM,YES,HDZ,YES
3983,3 - 6 months,DWC,Recurrent,20,12.15,253.76,4054,0.7448,HDM,NO,HDZ,YES
3984,1 -2 months,DWOC,Recurrent,438,261.28,277.62,89861,0.7895,HDM,YES,HDZ,NO
3985,More than 12 months,DWC,Recurrent,134,231.16,678.35,69498,0.4211,HDM,YES,HDZ,NO
3986,More than 12 months,DWC,Recurrent,77,59.9,312.44,18429,0.6812,HDM,YES,HDZ,NO
3987,1 -2 months,DWC,New,3,3.38,299.22,668,0.294,HDM,NO,HDZ,NO
3988,3 - 6 months,DWC,Recurrent,27,29.14,240.31,4741,0.4128,HDM,NO,HDZ,YES
3989,More than 12 months,DWC,Recurrent,101,125.25,445.14,34010,0.4141,LDM,YES,HDZ,NO
3990,1 -2 months,DWC,New,5,2.23,204.53,820,0.9026,HDM,NO,HDZ,YES
3991,1 -2 months,DWC,New,3,1.51,108.88,318,0.7063,LDM,NO,LDZ,YES
3992,More than 12 months,DWC,Recurrent,1,13.75,840.42,633,0.1101,HDM,YES,HDZ,NO
3993,3 - 6 months,DWC,Recurrent,20,23.68,196.59,3379,0.3787,HDM,NO,HDZ,NO
3994,1 -2 months,DWC,Recurrent,5,6.5,180.51,866,0.3274,LDM,NO,HDZ,YES
3995,More than 12 months,DWC,Recurrent,368,228.22,324.55,89812,0.6785,HDM,YES,HDZ,NO
3996,7-12 months,DWC,Recurrent,329,198.15,277,67813,0.8006,HDM,YES,HDZ,NO
3997,3 - 6 months,DWC,Recurrent,42,75.66,765.63,25538,0.6288,HDM,YES,HDZ,NO
3998,7-12 months,DWC,Recurrent,102,44.54,55.05,5247,0.345,HDM,NO,HDZ,NO
3999,More than 12 months,DWC,Recurrent,164,95.26,284.45,35018,0.8401,HDM,YES,HDZ,NO
4000,3 - 6 months,DWC,Recurrent,2,6.41,512.28,908,0.3227,HDM,NO,HDZ,YES
4001,7-12 months,DWC,Recurrent,95,53.91,305.04,21263,0.8621,HDM,YES,HDZ,NO
4002,More than 12 months,DWC,Recurrent,48,38.55,338.79,12472,0.7187,HDM,NO,HDZ,YES
4003,More than 12 months,DWC,Recurrent,246,159.5,321.28,62492,0.8085,HDM,YES,HDZ,NO
4004,3 - 6 months,DWC,Recurrent,12,8.18,151.13,1504,0.4541,HDM,NO,LDZ,NO
4005,3 - 6 months,DWC,Recurrent,124,75.87,212.79,21777,0.6635,HDM,NO,HDZ,NO
4006,More than 12 months,DWC,Recurrent,233,145.08,262.23,45219,0.7722,LDM,YES,HDZ,NO
4007,1 -2 months,DWC,New,8,8.34,148.65,855,0.3329,HDM,NO,HDZ,YES
4008,More than 12 months,DWC,Recurrent,51,37.86,259.6,10141,0.6519,HDM,YES,HDZ,NO
4009,1 -2 months,DWC,New,12,13.86,156.37,1799,0.3695,HDM,NO,LDZ,NO
4010,More than 12 months,DWC,Reactivated,25,22.72,291.39,5778,0.5487,HDM,NO,HDZ,YES
4011,3 - 6 months,DWC,Recurrent,148,75.47,163.46,19900,0.6645,HDM,NO,HDZ,NO
