ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
3706,3 - 6 months,DWC,Recurrent,2,3.84,53.43,102,0.2834,HDM,NO,HDZ,YES
3707,7-12 months,DWOC,Recurrent,29,14.28,228.56,4885,0.7887,HDM,YES,HDZ,YES
3708,More than 12 months,DWC,Recurrent,198,137.96,316.97,49805,0.7419,HDM,YES,HDZ,NO
3709,1 - 2 months,DWC,New,2,4.22,135.36,335,0.2107,HDM,NO,LDZ,YES
3710,3 - 6 months,DWC,Recurrent,37,25.64,236.4,7275,0.8012,HDM,NO,HDZ,YES
3711,More than 12 months,DWC,Recurrent,234,108.98,245.15,43140,0.6746,LDM,NO,HDZ,NO
3712,1 - 2 months,DWOC,New,73,43.16,265.15,14083,0.7413,HDM,YES,HDZ,NO
3713,1 - 2 months,DWC,New,2,4.65,78.38,150,0.1325,HDM,NO,LDZ,YES
3714,1 - 2 months,DWC,New,16,17.2,207.04,2402,0.4401,HDM,NO,HDZ,YES
3715,7-12 months,DWC,Recurrent,131,82.66,253.77,24608,0.759,HDM,NO,HDZ,NO
3716,3 - 6 months,DWC,Recurrent,98,43.29,251.05,18360,0.7736,HDM,NO,HDZ,YES
3717,1 - 2 months,DWC,New,9,11.49,187.95,1346,0.3415,HDM,NO,HDZ,YES
3718,More than 12 months,DWC,Recurrent,128,168.98,459.48,50436,0.43,HDM,NO,HDZ,NO
3719,7-12 months,DWC,Recurrent,149,116.12,399.97,45389,0.7046,HDM,YES,HDZ,NO
3720,1 - 2 months,DWC,Recurrent,23,21.14,228.82,4793,0.5139,HDM,NO,HDZ,YES
3721,3 - 6 months,DWC,Recurrent,7,6.04,314.36,1673,0.5112,LDM,NO,HDZ,NO
3722,7-12 months,DWC,Recurrent,110,75.35,273.03,23299,0.6886,HDM,YES,HDZ,NO
3723,1 - 2 months,DWC,New,75,54.14,205.64,13757,0.6539,HDM,NO,HDZ,NO
3724,1 - 2 months,DWC,New,6,31.65,160.21,870,0.0857,HDM,NO,LDZ,YES
3725,3 - 6 months,DWC,Recurrent,277,161.95,261.69,53529,0.8038,HDM,YES,HDZ,NO
3726,7-12 months,DWC,Recurrent,129,72.3,223.98,21290,0.6875,HDM,NO,HDZ,NO
3727,1 - 2 months,DWC,New,21,10.89,125.85,2202,0.557,HDM,NO,HDZ,YES
3728,1 - 2 months,DWC,New,13,10.59,229.21,2876,0.495,HDM,NO,LDZ,YES
3729,1 - 2 months,DWC,Recurrent,70,65.05,167.87,11054,0.4679,HDM,NO,LDZ,NO
3730,7-12 months,DWC,Recurrent,312,199.45,256.26,58685,0.7575,HDM,NO,HDZ,NO
3731,1 - 2 months,DWC,New,1,1.45,97.78,94,0.195,HDM,NO,LDZ,YES
3732,7-12 months,DWC,Recurrent,59,30.83,241.25,10303,0.7169,HDM,NO,HDZ,YES
3733,3 - 6 months,DWC,Recurrent,146,125.46,328.72,36517,0.6315,HDM,NO,HDZ,YES
3734,1 - 2 months,DWC,New,8,11.32,175.86,1346,0.3572,HDM,NO,LDZ,YES
3735,1 - 2 months,DWC,Recurrent,6,16.73,324.2,1475,0.1745,LDM,NO,HDZ,YES
3736,7-12 months,DWC,Recurrent,29,18.3,239.45,5141,0.8662,HDM,YES,HDZ,NO
3737,7-12 months,DWC,Recurrent,177,103.25,246.71,34399,0.7338,HDM,NO,HDZ,NO
3738,7-12 months,DWC,Recurrent,94,101.52,254.24,19287,0.6371,HDM,NO,HDZ,NO
3739,More than 12 months,DWC,Recurrent,110,71.72,300.02,24515,0.7074,HDM,YES,HDZ,NO
3740,More than 12 months,DWC,Recurrent,104,59.12,291.88,22861,0.8086,HDM,YES,HDZ,NO
3741,More than 12 months,DWC,Recurrent,246,148.61,253.5,46279,0.7543,HDM,YES,HDZ,NO
3742,7-12 months,DWC,Recurrent,8,6.59,331.49,1925,0.8077,HDM,YES,HDZ,NO
3743,1 - 2 months,DWC,Recurrent,3,3.92,127.24,368,0.2377,HDM,NO,HDZ,YES
3744,3 - 6 months,DWC,Recurrent,129,122.02,255,23929,0.4646,HDM,NO,HDZ,NO
3745,7-12 months,DWC,Recurrent,314,211.29,294.66,68255,0.785,HDM,YES,HDZ,NO
3746,More than 12 months,DWC,Recurrent,56,42.27,298.51,12669,0.6994,HDM,YES,HDZ,NO
3747,More than 12 months,DWC,Recurrent,64,40.77,313.64,15581,0.7319,HDM,YES,HDZ,NO
3748,3 - 6 months,DWC,Recurrent,47,38,240.64,9628,0.6497,HDM,NO,HDZ,NO
3749,1 - 2 months,DWC,Recurrent,1,0.78,194,186,0.336,LDM,NO,LDZ,YES
3750,7-12 months,DWC,Recurrent,23,15.92,295.43,5391,0.6816,LDM,NO,HDZ,YES
3751,1 - 2 months,DWOC,Recurrent,345,236.33,302.45,76829,0.7337,HDM,YES,HDZ,NO
3752,3 - 6 months,DWOC,Recurrent,22,13.54,199.02,3651,0.6899,LDM,NO,HDZ,YES
3753,1 - 2 months,DWC,New,33,26.53,195.5,5580,0.5388,HDM,NO,HDZ,NO
3754,More than 12 months,DWC,Recurrent,171,111.13,279.79,35608,0.7596,LDM,YES,HDZ,NO
3755,1 - 2 months,DWC,Recurrent,62,32.11,307.82,16160,0.7333,HDM,NO,HDZ,NO
3756,More than 12 months,DWC,Recurrent,42,29,266.96,8385,0.8134,HDM,YES,HDZ,NO
3757,7-12 months,DWC,Recurrent,249,167.04,311.82,57861,0.66,LDM,YES,HDZ,NO
3758,1 - 2 months,DWC,New,4,3.36,109.94,391,0.3497,HDM,NO,HDZ,NO
3759,More than 12 months,DWC,Recurrent,172,178.85,411.48,55571,0.5885,HDM,YES,HDZ,NO
3760,3 - 6 months,DWC,Recurrent,27,19.66,214.01,5149,0.56,HDM,NO,HDZ,YES
3761,1 - 2 months,DWOC,New,149,106.74,253.95,28254,0.7272,HDM,YES,HDZ,NO
3762,1 - 2 months,DWC,New,2,5.14,334.49,504,0.2147,HDM,NO,HDZ,YES
3763,1 - 2 months,DWC,Recurrent,203,107.88,255.42,37921,0.7578,HDM,YES,HDZ,NO
3764,3 - 6 months,DWC,Reactivated,21,18.4,227.76,4247,0.5336,HDM,NO,HDZ,YES
3765,3 - 6 months,DWC,Recurrent,9,7.71,246.42,1616,0.4542,LDM,NO,HDZ,YES
3766,1 - 2 months,DWC,New,3,11.17,153.94,442,0.0825,LDM,NO,LDZ,NO
3767,3 - 6 months,DWOC,Recurrent,159,101.15,327.43,38633,0.7126,HDM,YES,HDZ,YES
3768,3 - 6 months,DWC,Recurrent,104,92.46,323.99,25955,0.6019,HDM,YES,HDZ,NO
3769,3 - 6 months,DWC,Recurrent,381,220.78,274.62,80047,0.7047,LDM,YES,HDZ,NO
3770,7-12 months,DWC,Recurrent,85,56.74,236.39,14702,0.5434,HDM,NO,HDZ,NO
3771,3 - 6 months,DWC,Reactivated,1,1,455.65,327,0.867,LDM,NO,HDZ,NO
3772,1 - 2 months,DWC,New,6,4.24,177.13,1194,0.4969,HDM,NO,HDZ,NO
3773,1 - 2 months,DWC,Recurrent,28,23.05,186.43,3826,0.5068,HDM,NO,HDZ,YES
3774,7-12 months,DWC,Recurrent,380,212.23,261.03,73172,0.7311,HDM,NO,HDZ,NO
3775,1 - 2 months,DWC,New,47,30.31,179.57,7469,0.6338,HDM,NO,HDZ,YES
3776,More than 12 months,DWC,Recurrent,40,23.3,292.45,8636,0.7627,HDM,YES,HDZ,NO
3777,7-12 months,DWC,Recurrent,31,19.06,239.09,6312,0.8271,LDM,NO,LDZ,NO
3778,More than 12 months,DWC,Reactivated,6,3.86,279.09,1405,0.6719,LDM,NO,HDZ,YES
3779,More than 12 months,DWC,Recurrent,66,93.97,628.78,31005,0.6298,HDM,YES,HDZ,NO
3780,1 - 2 months,DWC,Recurrent,62,47.64,170.08,9444,0.5281,HDM,NO,LDZ,YES
3781,7-12 months,DWC,Recurrent,13,7.45,305.15,2951,0.9642,HDM,YES,HDZ,NO
3782,1 - 2 months,DWOC,Recurrent,31,22.25,334.89,7673,0.7424,HDM,YES,HDZ,YES
3783,More than 12 months,DWC,Recurrent,233,145.01,286.38,52932,0.8321,HDM,YES,HDZ,NO
3784,1 - 2 months,DWC,New,4,3.01,138.12,500,0.6341,HDM,NO,LDZ,YES
3785,1 - 2 months,DWC,Recurrent,33,21.67,130.43,3879,0.5045,HDM,NO,HDZ,YES
3786,1 - 2 months,DWC,New,2,1.25,39.4,75,0.5999,HDM,NO,LDZ,YES
3787,1 - 2 months,DWC,Recurrent,1,6.47,103.29,99,0.0884,HDM,NO,LDZ,NO
3788,1 - 2 months,DWC,Recurrent,9,13.3,118.28,982,0.2545,HDM,NO,LDZ,YES
3789,3 - 6 months,DWC,Recurrent,205,179.62,310.17,47617,0.6421,HDM,YES,HDZ,NO
3790,7-12 months,DWC,Recurrent,173,106.03,238.36,30733,0.73,HDM,NO,HDZ,NO
3791,More than 12 months,DWC,Reactivated,4,3.68,245.82,755,0.5471,HDM,NO,HDZ,YES
3792,More than 12 months,DWC,Recurrent,327,216.76,271.81,67113,0.7359,HDM,YES,HDZ,NO
3793,More than 12 months,DWC,Recurrent,96,56.66,278.97,19966,0.8308,HDM,YES,HDZ,YES
3794,1 - 2 months,DWC,New,2,5.25,89.06,170,0.1174,HDM,NO,LDZ,YES
3795,1 - 2 months,DWC,Recurrent,20,20.67,199.22,2860,0.3976,HDM,NO,HDZ,YES
3796,1 - 2 months,DWC,New,10,52.46,142.06,1359,0.1102,HDM,NO,LDZ,YES
3797,1 - 2 months,DWOC,Recurrent,32,25.58,314.3,7442,0.5752,HDM,NO,HDZ,YES
3798,More than 12 months,DWC,Recurrent,77,59.9,312.44,18429,0.6812,HDM,YES,HDZ,NO
3799,1 - 2 months,DWC,New,5,6.32,118.98,569,0.3016,HDM,NO,LDZ,NO
3800,1 - 2 months,DWC,New,8,8.06,167.64,1234,0.3712,HDM,NO,LDZ,YES
3801,7-12 months,DWC,Recurrent,251,157.92,286.53,53198,0.7772,HDM,YES,HDZ,NO
3802,1 - 2 months,DWC,New,20,16.21,225.42,4084,0.4519,LDM,NO,LDZ,YES
3803,1 - 2 months,DWC,New,1,0.74,104.5,75,0.5057,HDM,NO,HDZ,NO
3804,7-12 months,DWC,Recurrent,2,2.51,256.75,461,0.4059,HDM,NO,LDZ,YES
3805,1 - 2 months,DWC,New,3,2.81,207.47,561,0.4763,HDM,NO,LDZ,YES
3806,7-12 months,DWC,Recurrent,146,100.95,279.94,30424,0.7806,HDM,YES,HDZ,NO
3807,More than 12 months,DWC,Reactivated,1,1.15,269.79,194,0.5804,HDM,NO,HDZ,YES
3808,3 - 6 months,DWC,Recurrent,27,21.21,111.95,2441,0.3924,LDM,NO,HDZ,NO
3809,1 - 2 months,DWOC,New,59,39.6,322.56,14892,0.7546,HDM,YES,HDZ,NO
3810,1 - 2 months,DWC,New,7,7.12,223.9,1500,0.5391,HDM,NO,HDZ,YES
3811,3 - 6 months,DWC,Recurrent,89,73.83,201.04,13024,0.5745,LDM,NO,HDZ,NO
3812,More than 12 months,DWC,Recurrent,165,96.1,244.86,29811,0.7333,HDM,NO,HDZ,NO
3813,More than 12 months,DWC,Recurrent,131,80.91,291.4,27867,0.7972,HDM,YES,HDZ,NO
3814,1 - 2 months,DWC,New,3,5.95,257.07,665,0.2941,HDM,NO,HDZ,NO
3815,7-12 months,DWC,Recurrent,175,91.88,286.88,37812,0.7202,HDM,YES,HDZ,NO
3816,7-12 months,DWC,Reactivated,15,12.12,250.73,2888,0.5197,HDM,NO,HDZ,NO
3817,3 - 6 months,DWC,Recurrent,56,50.72,282.47,14414,0.6013,HDM,NO,HDZ,NO
3818,More than 12 months,DWC,Recurrent,465,289.85,358.86,124364,0.7189,LDM,YES,HDZ,NO
3819,More than 12 months,DWC,Recurrent,3,4.96,317.08,698,0.1895,HDM,NO,HDZ,NO
3820,7-12 months,DWC,Reactivated,2,2.62,104.5,150,0.3499,HDM,NO,HDZ,YES
3821,1 - 2 months,DWC,New,9,4.84,179.15,1259,0.7202,HDM,NO,HDZ,YES
3822,1 - 2 months,DWC,New,1,3.15,129.01,123,0.1015,HDM,NO,LDZ,YES
3823,1 - 2 months,DWOC,New,2,1.87,203.21,299,0.6462,LDM,NO,HDZ,YES
3824,1 - 2 months,DWC,New,7,5.8,92.67,656,0.3779,HDM,NO,HDZ,YES
3825,More than 12 months,DWC,Recurrent,40,18.02,170.34,4973,0.6699,LDM,NO,HDZ,NO
3826,1 - 2 months,DWOC,New,36,28.22,208,7003,0.5788,LDM,NO,LDZ,YES
3827,7-12 months,DWC,Recurrent,4,2.87,168.65,487,0.4802,LDM,NO,HDZ,YES
3828,3 - 6 months,DWC,Recurrent,6,2.91,225.53,1299,0.8579,HDM,NO,HDZ,YES
3829,3 - 6 months,DWC,Recurrent,103,89.98,311.88,25483,0.6301,HDM,NO,HDZ,NO
3830,1 - 2 months,DWOC,New,6,9.03,272.18,1394,0.4907,HDM,NO,HDZ,NO
3831,1 - 2 months,DWC,Recurrent,85,44.37,245.23,15319,0.7854,HDM,NO,HDZ,YES
3832,3 - 6 months,DWC,Reactivated,2,1.31,69.68,133,0.4661,HDM,NO,LDZ,YES
3833,3 - 6 months,DWC,Recurrent,20,12.15,253.76,4054,0.7448,HDM,NO,HDZ,YES
3834,1 - 2 months,DWC,New,2,11.25,82.5,158,0.037,HDM,NO,HDZ,NO
3835,3 - 6 months,DWOC,Recurrent,312,171.55,304.6,70471,0.8037,HDM,YES,HDZ,NO
3836,3 - 6 months,DWC,Recurrent,40,27.7,336.38,10634,0.7084,LDM,YES,HDZ,YES
3837,3 - 6 months,DWC,Recurrent,3,2.93,273.17,601,0.5042,LDM,NO,HDZ,NO
3838,7-12 months,DWOC,Recurrent,63,41.33,317.63,15002,0.7239,LDM,YES,HDZ,YES
3839,3 - 6 months,DWC,Recurrent,96,83.13,307.22,22272,0.7557,HDM,YES,HDZ,NO
3840,1 - 2 months,DWC,New,3,2.91,243.93,700,0.429,HDM,NO,LDZ,YES
3841,1 - 2 months,DWC,Recurrent,81,62.96,176.3,13663,0.501,HDM,NO,HDZ,NO
3842,More than 12 months,DWOC,Reactivated,80,57.47,332.36,20259,0.6871,LDM,YES,HDZ,NO
3843,1 - 2 months,DWC,New,6,8.55,246.44,1344,0.412,HDM,NO,HDZ,YES
3844,1 - 2 months,DWC,New,2,1.75,159.1,230,0.4888,LDM,NO,HDZ,NO
3845,1 - 2 months,DWC,New,25,28.79,190.66,3717,0.3135,HDM,NO,HDZ,YES
3846,1 - 2 months,DWC,Recurrent,303,162.15,231.6,51316,0.7257,HDM,NO,HDZ,NO
3847,3 - 6 months,DWC,Recurrent,3,6.86,148.87,537,0.1942,HDM,NO,LDZ,YES
3848,1 - 2 months,DWC,New,2,4.27,196.24,386,0.1294,HDM,NO,LDZ,YES
3849,1 - 2 months,DWC,New,1,18.45,250.5,240,0.0224,LDM,NO,HDZ,YES
3850,3 - 6 months,DWC,Recurrent,20,14.98,159.74,2855,0.4759,HDM,NO,HDZ,NO
3851,7-12 months,DWC,Recurrent,259,179.78,291.28,70525,0.7551,LDM,YES,HDZ,NO
3852,More than 12 months,DWC,Recurrent,12,5.96,256.26,2298,0.7821,HDM,NO,HDZ,YES
3853,1 - 2 months,DWC,New,4,5.08,217.25,832,0.5083,HDM,NO,LDZ,YES
3854,1 - 2 months,DWC,Recurrent,1,0.74,78.5,75,0.3703,HDM,NO,LDZ,YES
3855,1 - 2 months,DWC,Recurrent,16,9.09,228.38,2925,0.8236,HDM,NO,HDZ,NO
3856,More than 12 months,DWC,Recurrent,71,61.61,182.4,12413,0.499,HDM,NO,LDZ,NO
3857,1 - 2 months,DWC,New,5,4.72,139.78,669,0.5378,HDM,NO,LDZ,YES
3858,3 - 6 months,DWC,Recurrent,8,12.53,211.68,1630,0.3365,HDM,NO,HDZ,NO
3859,3 - 6 months,DWC,Reactivated,97,64.06,222.11,16826,0.6676,HDM,NO,HDZ,YES
3860,1 - 2 months,DWOC,New,7,4.63,198.11,996,0.4928,HDM,YES,HDZ,YES
3861,1 - 2 months,DWC,Recurrent,4,3.33,106.44,407,0.5267,HDM,NO,LDZ,YES
3862,3 - 6 months,DWC,Recurrent,60,39.8,277.76,13223,0.725,HDM,NO,HDZ,NO
3863,3 - 6 months,DWC,Recurrent,317,217.28,277.48,68340,0.7496,HDM,YES,HDZ,NO
3864,1 - 2 months,DWC,New,33,26.69,178.17,4476,0.5229,HDM,NO,HDZ,YES
3865,7-12 months,DWC,Recurrent,140,69.86,240.71,24720,0.7096,LDM,YES,HDZ,NO
3866,3 - 6 months,DWC,Recurrent,3,5.03,191.54,449,0.2974,HDM,NO,HDZ,YES
3867,3 - 6 months,DWC,Recurrent,183,112.96,288.77,39413,0.7687,HDM,YES,HDZ,NO
3868,More than 12 months,DWC,Recurrent,233,162.87,298.16,53546,0.6263,LDM,YES,HDZ,NO
3869,3 - 6 months,DWC,Recurrent,2,2.23,159,304,0.3541,HDM,NO,LDZ,YES
3870,1 - 2 months,DWC,New,2,4.93,115.03,220,0.1344,HDM,NO,LDZ,YES
3871,7-12 months,DWC,Recurrent,270,147.33,288.05,57373,0.7636,HDM,NO,HDZ,NO
3872,3 - 6 months,DWC,Recurrent,337,203.63,288.67,71699,0.7127,HDM,YES,HDZ,NO
3873,3 - 6 months,DWC,Recurrent,6,4.05,113.16,650,0.6788,HDM,NO,LDZ,YES
3874,1 - 2 months,DWC,Recurrent,139,88.84,191.45,23301,0.6484,HDM,NO,HDZ,NO
3875,1 - 2 months,DWC,New,1,1.57,571.2,555,0.7348,HDM,NO,LDZ,YES
3876,More than 12 months,DWOC,Recurrent,228,121.8,253.17,42699,0.7743,HDM,YES,HDZ,NO
3877,1 - 2 months,DWC,Recurrent,51,34.11,136.9,5793,0.582,HDM,NO,HDZ,YES
3878,3 - 6 months,DWC,Recurrent,296,193.76,312,69721,0.7416,HDM,NO,HDZ,NO
3879,More than 12 months,DWC,Recurrent,20,63.71,707.31,10611,0.2219,HDM,YES,HDZ,NO
3880,More than 12 months,DWC,Recurrent,40,26.05,280.36,8300,0.7605,HDM,YES,HDZ,NO
3881,3 - 6 months,DWOC,Recurrent,26,27.5,520.01,10920,0.6688,LDM,YES,HDZ,YES
3882,1 - 2 months,DWC,New,16,13.21,124.09,1590,0.372,LDM,NO,HDZ,YES
3883,More than 12 months,DWOC,Recurrent,269,177.15,308.61,62425,0.7407,HDM,YES,HDZ,NO
3884,7-12 months,DWOC,Recurrent,71,104.23,470.93,25231,0.3706,LDM,YES,HDZ,YES
3885,7-12 months,DWC,Recurrent,94,76.17,248.04,18502,0.522,HDM,NO,HDZ,YES
3886,More than 12 months,DWC,Recurrent,190,96.84,275.83,38254,0.788,LDM,YES,HDZ,NO
3887,3 - 6 months,DWC,Recurrent,1,0.63,104.5,75,0.4091,HDM,NO,HDZ,YES
3888,More than 12 months,DWC,Recurrent,101,213.57,712.84,54871,0.4444,HDM,YES,HDZ,NO
3889,7-12 months,DWC,Recurrent,64,45.41,305.7,14175,0.6712,HDM,NO,HDZ,NO
3890,3 - 6 months,DWC,Recurrent,51,31.01,246.04,10543,0.6906,HDM,NO,HDZ,YES
3891,3 - 6 months,DWC,Recurrent,42,31.12,310.85,9759,0.7397,HDM,NO,HDZ,NO
3892,7-12 months,DWC,Recurrent,8,5.77,275.21,1702,0.6661,HDM,NO,HDZ,YES
3893,7-12 months,DWC,Recurrent,1,2.62,407.5,393,0.259,HDM,NO,HDZ,YES
3894,More than 12 months,DWC,Recurrent,134,73.46,240.1,23628,0.7187,HDM,YES,HDZ,NO
3895,More than 12 months,DWC,Recurrent,321,198.57,239.11,57222,0.6791,HDM,NO,HDZ,NO
3896,7-12 months,DWC,Recurrent,126,91.55,284.11,28861,0.6575,HDM,YES,HDZ,YES
3897,1 - 2 months,DWC,New,60,47.77,199.36,10783,0.5534,HDM,NO,HDZ,YES
3898,3 - 6 months,DWC,Recurrent,15,16.54,271.76,3432,0.4971,HDM,NO,HDZ,NO
3899,1 - 2 months,DWC,New,5,3.61,282.93,1019,0.8294,HDM,YES,HDZ,NO
3900,3 - 6 months,DWC,Recurrent,10,8.14,225.47,1941,0.6356,HDM,NO,HDZ,NO
3901,1 - 2 months,DWC,New,4,5.67,270.86,873,0.3255,HDM,NO,HDZ,YES
3902,1 - 2 months,DWC,New,7,4.48,216.94,1316,0.5428,HDM,NO,LDZ,YES
3903,1 - 2 months,DWC,New,9,7.68,214.85,1428,0.4838,HDM,NO,HDZ,NO
3904,More than 12 months,DWC,Recurrent,25,17.92,331.46,6177,0.8611,HDM,YES,HDZ,NO
3905,3 - 6 months,DWC,Recurrent,47,25.45,188.08,6864,0.4502,LDM,NO,HDZ,NO
3906,7-12 months,DWC,Recurrent,57,43.16,238.69,10883,0.6474,HDM,NO,HDZ,NO
3907,1 - 2 months,DWC,New,1,7.42,342.17,327,0.1126,HDM,NO,LDZ,YES
3908,1 - 2 months,DWC,New,4,20.15,234.56,900,0.1099,HDM,NO,LDZ,YES
3909,3 - 6 months,DWC,Recurrent,288,179.16,302.21,64515,0.7861,HDM,YES,HDZ,NO
3910,1 - 2 months,DWC,New,2,5.12,114.7,220,0.0756,HDM,NO,LDZ,YES
3911,More than 12 months,DWOC,Recurrent,66,73.78,603.56,29601,0.5997,HDM,YES,HDZ,NO
3912,3 - 6 months,DWC,Recurrent,14,7.44,245.34,2506,0.6712,HDM,NO,HDZ,YES
3913,1 - 2 months,DWC,New,4,4.28,142.35,409,0.3812,LDM,NO,HDZ,YES
3914,7-12 months,DWC,Recurrent,35,21.02,309.38,7979,0.8297,HDM,NO,HDZ,NO
3915,3 - 6 months,DWC,Recurrent,1,0.36,139.16,100,0.7996,HDM,NO,HDZ,YES
3916,More than 12 months,DWC,Reactivated,2,2.17,296,430,0.3948,HDM,NO,HDZ,YES
3917,More than 12 months,DWC,Recurrent,10,4.06,161.9,1274,0.767,LDM,NO,HDZ,YES
3918,1 - 2 months,DWC,New,2,11.31,144.82,245,0.0642,LDM,NO,HDZ,YES
3919,3 - 6 months,DWC,Recurrent,24,13.41,209.99,3754,0.745,HDM,NO,HDZ,YES
3920,7-12 months,DWOC,Recurrent,125,120.02,252.92,24493,0.4862,HDM,YES,HDZ,YES
3921,7-12 months,DWC,Recurrent,167,105.14,333.84,42464,0.6962,HDM,YES,HDZ,NO
3922,1 - 2 months,DWC,New,1,8.2,201.87,145,0.0734,HDM,NO,LDZ,YES
3923,3 - 6 months,DWC,Recurrent,134,85.08,263.41,26016,0.7174,HDM,NO,HDZ,NO
3924,More than 12 months,DWC,Recurrent,256,152.15,289.7,55160,0.8085,HDM,YES,HDZ,NO
3925,3 - 6 months,DWC,Recurrent,8,25.11,121.34,801,0.1074,HDM,NO,HDZ,NO
3926,More than 12 months,DWC,Recurrent,143,78.96,259.91,28701,0.7007,LDM,NO,HDZ,YES
3927,1 - 2 months,DWC,New,5,5.66,139.07,665,0.3346,HDM,NO,HDZ,YES
3928,3 - 6 months,DWOC,Recurrent,213,164.92,292.33,47637,0.7612,HDM,YES,HDZ,NO
3929,1 - 2 months,DWC,New,4,6.2,108.28,374,0.1535,HDM,NO,HDZ,YES
3930,1 - 2 months,DWC,New,1,2.25,104.5,75,0.1465,HDM,NO,HDZ,YES
3931,3 - 6 months,DWC,Reactivated,1,0.3,111.65,107,0.6718,HDM,NO,HDZ,YES
3932,1 - 2 months,DWC,New,4,4.05,132.96,509,0.335,HDM,NO,HDZ,YES
3933,7-12 months,DWC,Recurrent,243,165.73,305.81,55282,0.7298,HDM,YES,HDZ,NO
3934,7-12 months,DWC,Recurrent,203,138.35,269.02,40033,0.6663,HDM,YES,HDZ,NO
3935,3 - 6 months,DWC,Recurrent,66,38.12,195.14,9576,0.697,HDM,NO,HDZ,NO
3936,3 - 6 months,DWC,Recurrent,84,54.15,235.43,14883,0.6937,HDM,NO,HDZ,NO
3937,7-12 months,DWC,Reactivated,1,0.83,312.73,224,0.4366,LDM,NO,HDZ,YES
3938,More than 12 months,DWC,Reactivated,68,44.29,245.84,12123,0.7277,HDM,NO,HDZ,YES
3939,3 - 6 months,DWC,Reactivated,7,4.46,287.27,1465,0.7373,LDM,NO,HDZ,NO
3940,3 - 6 months,DWC,Recurrent,102,64.75,261.36,22169,0.6967,HDM,NO,HDZ,NO
3941,3 - 6 months,DWOC,Recurrent,394,259.95,295.07,88774,0.7105,HDM,YES,HDZ,NO
3942,1 - 2 months,DWC,Recurrent,1,10.29,78.69,75,0.0464,HDM,NO,LDZ,YES
3943,1 - 2 months,DWC,New,210,285.64,423.08,66890,0.4824,HDM,YES,HDZ,NO
3944,3 - 6 months,DWC,Reactivated,219,152.7,260.45,45455,0.6083,HDM,NO,HDZ,NO
3945,1 - 2 months,DWC,Recurrent,8,5.27,168.8,1302,0.5326,HDM,NO,LDZ,YES
3946,1 - 2 months,DWC,New,10,13.91,129.46,1020,0.212,HDM,NO,HDZ,YES
3947,1 - 2 months,DWC,Recurrent,1,0.74,107.65,103,0.3688,HDM,NO,HDZ,YES
3948,1 - 2 months,DWC,New,7,6.91,263.68,1554,0.4936,HDM,NO,HDZ,YES
3949,1 - 2 months,DWC,Recurrent,16,12.46,197.22,2810,0.5138,LDM,NO,HDZ,YES
3950,3 - 6 months,DWC,Reactivated,6,6.26,197.49,1134,0.6034,HDM,NO,LDZ,YES
3951,7-12 months,DWC,Recurrent,432,311.52,281.31,93360,0.7271,HDM,YES,HDZ,NO
3952,1 - 2 months,DWC,New,2,2.33,85.5,123,0.2614,HDM,NO,HDZ,YES
3953,More than 12 months,DWC,Recurrent,5,2.33,123.06,548,0.313,HDM,NO,HDZ,NO
3954,More than 12 months,DWC,Recurrent,343,206.09,293.92,74077,0.7551,HDM,YES,HDZ,NO
3955,1 - 2 months,DWC,New,2,1.72,72.7,139,0.4265,HDM,NO,LDZ,YES
3956,More than 12 months,DWC,Recurrent,50,46.21,336.06,12409,0.5361,HDM,YES,HDZ,NO
3957,1 - 2 months,DWC,New,2,8.17,157.75,227,0.0881,LDM,NO,HDZ,YES
3958,7-12 months,DWC,Recurrent,5,4.95,208.06,854,0.3809,HDM,NO,HDZ,NO
3959,3 - 6 months,DWC,Recurrent,11,8.69,227.37,1887,0.666,HDM,NO,HDZ,YES
3960,More than 12 months,DWC,Recurrent,13,10.1,276.14,2688,0.573,HDM,YES,HDZ,YES
3961,7-12 months,DWC,Recurrent,209,128.11,296.75,45445,0.7787,HDM,YES,HDZ,NO
3962,3 - 6 months,DWC,Recurrent,54,44.35,154.74,8074,0.5469,HDM,NO,HDZ,YES
3963,1 - 2 months,DWC,New,13,11.44,179.14,1898,0.4608,HDM,NO,HDZ,YES
3964,7-12 months,DWC,Recurrent,267,161.5,249.52,50683,0.7045,LDM,NO,HDZ,NO
3965,More than 12 months,DWC,Recurrent,7,4.05,264.65,1330,0.8607,HDM,NO,HDZ,NO
3966,7-12 months,DWC,Recurrent,3,20.11,210.67,508,0.0761,LDM,NO,HDZ,YES
3967,3 - 6 months,DWC,Recurrent,62,48.23,159.38,8352,0.463,HDM,NO,HDZ,NO
3968,1 - 2 months,DWC,Recurrent,18,13.41,145.26,2292,0.6036,HDM,NO,HDZ,YES
3969,7-12 months,DWC,Recurrent,40,19.2,232.62,6732,0.7725,HDM,NO,HDZ,NO
3970,3 - 6 months,DWC,Recurrent,3,2.63,122.12,351,0.3318,HDM,NO,HDZ,NO
3971,3 - 6 months,DWC,Recurrent,2,1.49,211.75,353,0.8211,LDM,NO,HDZ,YES
3972,7-12 months,DWC,Recurrent,283,184.42,276.12,58912,0.7428,HDM,YES,HDZ,NO
