ID,DriverTenure,FleetRole,DriverType,DO,WorkingHours,AVGTicket,Cost,LoadFactor,FrequentMoment,CorpProd,FrequentZone,Churn
970,3 - 6 months,DWC,Recurrent,1,11.25,201,144,0.9479,HDM,NO,HDZ,YES
971,1 - 2 months,DWOC,Recurrent,126,70.51,245.05,22369,0.6821,LDM,NO,HDZ,NO
972,1 - 2 months,DWC,New,16,20.06,149.72,2293,0.307,HDM,NO,HDZ,YES
973,1 - 2 months,DWC,Recurrent,7,7.55,33.74,226,0.2079,HDM,NO,LDZ,YES
974,More than 12 months,DWC,Recurrent,163,122.88,302.06,37872,0.7172,HDM,YES,HDZ,NO
975,3 - 6 months,DWC,Recurrent,210,127.41,225.17,37344,0.6268,HDM,NO,HDZ,NO
976,1 - 2 months,DWC,New,51,45.92,193.95,9402,0.4738,HDM,NO,LDZ,NO
977,7-12 months,DWC,Recurrent,163,107.02,234.19,30685,0.6233,LDM,NO,HDZ,NO
978,1 - 2 months,DWC,New,1,6.13,91,87,0.0429,HDM,NO,LDZ,YES
979,3 - 6 months,DWC,Recurrent,3,5.47,205.33,449,0.1229,LDM,NO,HDZ,NO
980,3 - 6 months,DWC,Recurrent,41,43.36,217.13,8268,0.4499,HDM,NO,LDZ,YES
981,7-12 months,DWC,Recurrent,230,162.09,337.61,57771,0.7947,HDM,YES,HDZ,NO
982,1 - 2 months,DWC,New,1,4.05,207,149,0.0843,HDM,NO,HDZ,YES
983,3 - 6 months,DWC,Recurrent,106,77.5,238.32,19067,0.7412,HDM,NO,HDZ,YES
984,1 - 2 months,DWC,New,24,23.93,262.04,5057,0.4805,HDM,NO,HDZ,YES
985,3 - 6 months,DWOC,Recurrent,338,185.61,233.8,57922,0.7516,HDM,YES,HDZ,NO
986,1 - 2 months,DWC,New,2,1.49,154.96,297,0.5727,HDM,NO,LDZ,YES
987,7-12 months,DWC,Recurrent,35,21.26,285.22,7733,0.7055,LDM,YES,HDZ,YES
988,7-12 months,DWC,Recurrent,13,20.93,466.84,4630,0.3134,HDM,YES,LDZ,NO
989,More than 12 months,DWC,Recurrent,162,136.3,289.32,38757,0.7349,HDM,YES,HDZ,NO
990,3 - 6 months,DWC,Recurrent,187,120.86,253.45,35406,0.7634,HDM,YES,HDZ,NO
991,1 - 2 months,DWC,Recurrent,186,101.18,182.42,31055,0.7248,HDM,NO,HDZ,NO
992,3 - 6 months,DWC,Reactivated,21,23.68,254.02,4381,0.5092,HDM,NO,HDZ,YES
993,1 - 2 months,DWC,New,11,10.04,213.82,1917,0.4723,LDM,NO,LDZ,YES
994,1 - 2 months,DWC,New,3,13.49,263.38,761,0.1808,HDM,NO,LDZ,YES
995,More than 12 months,DWC,Recurrent,440,238.98,275.9,88912,0.7488,LDM,YES,HDZ,NO
996,7-12 months,DWC,Recurrent,205,122.05,251.32,37777,0.712,HDM,NO,HDZ,NO
997,1 - 2 months,DWC,Recurrent,2,2.62,41,78,0.2852,HDM,NO,HDZ,YES
998,3 - 6 months,DWC,Recurrent,21,36.59,140.36,2638,0.2527,HDM,NO,HDZ,YES
999,7-12 months,DWC,Recurrent,228,147.99,270.17,45679,0.6629,LDM,NO,HDZ,NO
1000,7-12 months,DWC,Recurrent,169,121.29,273.56,34163,0.6931,HDM,NO,HDZ,NO
1001,3 - 6 months,DWC,Reactivated,2,0.63,205,392,0.8404,LDM,NO,HDZ,YES
1002,1 - 2 months,DWC,Recurrent,14,7.12,155.09,1931,0.4761,HDM,NO,HDZ,NO
1003,More than 12 months,DWC,Recurrent,45,30.12,296.24,11205,0.8167,HDM,YES,HDZ,NO
